candidate_id,game,derivative_type,market_ticker,original_label,replayed_label,process_grade,side,bid,ask,mid,spread_cents,tape_label,raw_edge_cents,entry_price_cents,entry_friction_cents,exit_friction_cents,spread_penalty_cents,thin_tape_penalty_cents,conservative_fee_buffer_cents,conservative_net_edge_cents,paper_take_eligible,friction_fail_reason,hedge_alternative_cost_cents
841,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
842,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
843,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,blocked,blocked,sound_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
844,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,YES,7,63,35,56,usable_tape,37,63,28,28,12,0,5,-36,False,severe_wide_spread,93
845,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,watch,blocked,bad_process,NO,99,100,99,1,usable_tape,99,1,1,1,0,0,4,93,True,,100
846,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
847,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
848,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
849,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,YES,7,63,35,56,usable_tape,37,63,28,28,12,0,5,-36,False,severe_wide_spread,93
850,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
851,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,blocked,blocked,sound_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
852,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,blocked,blocked,questionable_process,NO,99,100,99,1,usable_tape,99,1,1,1,0,0,4,93,True,,100
853,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
854,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,blocked,blocked,questionable_process,NO,99,100,99,1,usable_tape,99,1,1,1,0,0,4,93,True,,100
855,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
856,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,YES,7,63,35,56,usable_tape,37,63,28,28,12,0,5,-36,False,severe_wide_spread,93
857,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
858,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
859,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,watch,watch,questionable_process,NO,73,74,73,1,usable_tape,73,27,1,1,0,0,5,66,True,,74
