feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
BD_L10_bucket,avg_95_105,team_won,"2023,2024,2025",3,2025,647,0.521,0.0217,0.0181,0.026,mixed_or_noisy
BD_bucket,avg_95_105,team_won,"2023,2024,2025",3,2025,647,0.521,0.0217,0.0181,0.026,mixed_or_noisy
BO_gap_bucket,minus_7_to_15,game_total_9plus,"2023,2024,2025",3,1245,378,0.52,0.0215,0.0001,0.0517,mixed_or_noisy
BO_gap_bucket,plus_7_to_15,game_total_9plus,"2023,2024,2025",3,1245,378,0.52,0.0215,0.0001,0.0517,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_15_plus,game_total_10plus,"2023,2024,2025",3,4841,1576,0.4204,0.0213,0.0159,0.0269,mixed_or_noisy
reliever_appearances_last_2d_bucket,low_1_3,game_total_10plus,"2023,2024,2025",3,422,131,0.4204,0.0213,0.0058,0.0356,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,very_high_70_plus,team_post5_runs_2plus,"2023,2024,2025",3,1036,329,0.5021,0.0211,-0.0081,0.0736,mixed_or_noisy
extra_innings_previous_game,yes,f5_total_4plus,"2023,2024,2025",3,1268,409,0.605,-0.021,-0.0638,0.0064,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,team_runs_4plus,"2023,2024,2025",3,4179,1333,0.5371,-0.0209,-0.0314,-0.0132,mixed_or_noisy
BO_bucket,very_low_lt_85,team_runs_4plus,"2023,2024,2025",3,4179,1333,0.5371,-0.0209,-0.0314,-0.0132,mixed_or_noisy
BO_L5_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,5192,1714,0.5201,0.0208,0.0077,0.029,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,team_runs_4plus,"2023,2024,2025",3,5095,1663,0.5372,-0.0207,-0.0339,-0.0094,mixed_or_noisy
BO_gap_bucket,plus_15_plus,opponent_runs_4plus,"2023,2024,2025",3,5095,1663,0.5372,-0.0207,-0.0339,-0.0094,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,below_avg_25_40,opponent_runs_4plus,"2023,2024,2025",3,3121,955,0.5372,-0.0207,-0.0405,-0.0106,mixed_or_noisy
BO_event_bucket,high_105_115,team_runs_4plus,"2023,2024,2025",3,2481,796,0.5785,0.0206,0.014,0.0299,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_7_to_15,opponent_runs_5plus,"2023,2024,2025",3,1120,353,0.411,-0.0206,-0.0461,0.0055,mixed_or_noisy
BO_plus_tired_bullpen_tag,yes,team_runs_5plus,"2023,2024,2025",3,5172,1717,0.452,0.0205,0.0157,0.0245,mixed_or_noisy
