season,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,BD_L5_bucket,very_high_115_plus,opponent_post5_runs_2plus,1888,0.465,0.4701,-0.0051
2023,BD_L5_bucket,very_high_115_plus,opponent_runs_4plus,1876,0.5522,0.5745,-0.0223
2024,BD_L5_bucket,very_high_115_plus,opponent_runs_4plus,1986,0.5388,0.55,-0.0112
2025,BD_L5_bucket,very_high_115_plus,opponent_runs_4plus,1888,0.5323,0.5493,-0.017
2023,BD_L5_bucket,very_high_115_plus,opponent_runs_5plus,1876,0.4392,0.4529,-0.0137
2024,BD_L5_bucket,very_high_115_plus,opponent_runs_5plus,1986,0.4043,0.4252,-0.0209
2025,BD_L5_bucket,very_high_115_plus,opponent_runs_5plus,1888,0.4052,0.4166,-0.0114
2023,BD_L5_bucket,very_high_115_plus,team_f5_runs_2plus,1876,0.5959,0.5945,0.0014
2024,BD_L5_bucket,very_high_115_plus,team_f5_runs_2plus,1986,0.5816,0.5795,0.0021
2025,BD_L5_bucket,very_high_115_plus,team_f5_runs_2plus,1888,0.5842,0.5754,0.0088
2023,BD_L5_bucket,very_high_115_plus,team_post5_runs_2plus,1876,0.5075,0.4955,0.012
2024,BD_L5_bucket,very_high_115_plus,team_post5_runs_2plus,1986,0.4617,0.4773,-0.0156
2025,BD_L5_bucket,very_high_115_plus,team_post5_runs_2plus,1888,0.4619,0.4701,-0.0082
2023,BD_L5_bucket,very_high_115_plus,team_runs_4plus,1876,0.5874,0.5745,0.0129
2024,BD_L5_bucket,very_high_115_plus,team_runs_4plus,1986,0.5413,0.55,-0.0087
2025,BD_L5_bucket,very_high_115_plus,team_runs_4plus,1888,0.5524,0.5493,0.0031
