generated_at,window_start,window_end,game_pk,game_date,game_id,team,opponent,home_away,coverage_gap_type,team_or_opponent_is_wsn
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823435,2026-07-25,NYY@PHI,NYY,PHI,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823435,2026-07-25,NYY@PHI,PHI,NYY,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823841,2026-07-25,SD@MIA,SD,MIA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823841,2026-07-25,SD@MIA,MIA,SD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822869,2026-07-25,SEA@TEX,SEA,TEX,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822869,2026-07-25,SEA@TEX,TEX,SEA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824734,2026-07-25,TOR@BOS,TOR,BOS,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824734,2026-07-25,TOR@BOS,BOS,TOR,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823678,2026-07-26,ATH@MIN,ATH,MIN,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823678,2026-07-26,ATH@MIN,MIN,ATH,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824810,2026-07-26,ATL@BAL,ATL,BAL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824810,2026-07-26,ATL@BAL,BAL,ATL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823354,2026-07-26,CHC@PIT,CHC,PIT,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823354,2026-07-26,CHC@PIT,PIT,CHC,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823028,2026-07-26,CIN@STL,CIN,STL,away,ok_has_usable_price,False
