generated_at,window_start,window_end,game_date,game_id,subject_team,market_type,threshold,side,brain_score,calibrated_probability,market_implied_probability_cents,gap_cents,bucket,graded,outcome,pl_cents
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,LAD@PHI,PHI,team_total,4.0,YES,0.0,0.531,63.0,-9.899999999999999,brain_high_market_high,True,LOSE,-63.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,NYY@PHI,NYY,team_total,4.0,YES,0.0,0.531,63.0,-9.899999999999999,brain_high_market_high,True,LOSE,-63.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,STL@LAA,LAA,team_total,4.0,YES,0.0,0.531,63.0,-9.899999999999999,brain_high_market_high,True,WIN,37.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,STL@LAA,LAA,team_total,4.0,YES,0.0,0.531,63.0,-9.899999999999999,brain_high_market_high,True,LOSE,-63.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,STL@AZ,AZ,team_total,4.0,YES,0.0481,0.531,63.0,-9.899999999999999,brain_high_market_high,True,WIN,37.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,ATH@MIN,ATH,team_total,4.0,YES,0.093,0.531,63.0,-9.899999999999999,brain_high_market_high,True,LOSE,-63.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,CIN@SEA,SEA,team_total,4.0,YES,0.0856,0.531,63.0,-9.899999999999999,brain_high_market_high,True,LOSE,-63.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,NYM@MIL,NYM,team_total,5.0,NO,0.1286,0.5913,69.0,-9.869999999999997,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,CLE@TB,CLE,team_total,4.0,YES,0.1037,0.5883,49.0,9.830000000000005,brain_high_market_low,True,LOSE,-49.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,STL@LAA,LAA,moneyline,,YES,0.0,0.472,57.0,-9.800000000000004,brain_low_market_high,True,LOSE,-57.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,CLE@TB,TB,moneyline,,YES,0.0,0.472,57.0,-9.800000000000004,brain_low_market_high,True,WIN,43.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,NYY@PHI,PHI,moneyline,,YES,0.0406,0.472,57.0,-9.800000000000004,brain_low_market_high,True,LOSE,-57.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,COL@MIL,MIL,moneyline,,YES,0.6285,0.6039,70.0,-9.61,brain_high_market_high,True,LOSE,-70.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,LAD@NYM,LAD,moneyline,,YES,0.1576,0.5039,60.0,-9.61,brain_high_market_high,True,WIN,40.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,SEA@TEX,TEX,team_total,5.0,NO,0.0991,0.5546,65.0,-9.54,brain_high_market_high,True,LOSE,-65.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,NYY@PHI,NYY,team_total,5.0,NO,0.0432,0.5546,65.0,-9.54,brain_high_market_high,True,WIN,35.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,LAA@SF,LAA,team_total,5.0,NO,0.0,0.5546,65.0,-9.54,brain_high_market_high,True,LOSE,-65.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,SD@MIA,SD,team_total,5.0,NO,0.0,0.5546,65.0,-9.54,brain_high_market_high,True,LOSE,-65.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,MIN@CLE,MIN,team_total,5.0,NO,0.0472,0.5546,65.0,-9.54,brain_high_market_high,True,LOSE,-65.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,TOR@BOS,BOS,team_total,5.0,NO,0.0,0.5546,65.0,-9.54,brain_high_market_high,True,WIN,35.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,SD@ATL,ATL,team_total,5.0,NO,0.0,0.5546,46.0,9.46,brain_high_market_low,True,LOSE,-46.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,SF@KC,SF,team_total,5.0,NO,0.0,0.5546,46.0,9.46,brain_high_market_low,True,WIN,54.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,ATH@AZ,AZ,team_total,5.0,NO,0.0,0.5546,46.0,9.46,brain_high_market_low,True,LOSE,-46.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,LAD@NYM,LAD,team_total,4.0,YES,0.2753,0.5667,66.0,-9.329999999999998,brain_high_market_high,True,LOSE,-66.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,CIN@COL,COL,team_total,5.0,NO,0.132,0.5913,50.0,9.130000000000003,brain_high_market_high,True,LOSE,-50.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,COL@MIL,MIL,team_total,4.0,YES,0.5557,0.6395,73.0,-9.050000000000004,brain_high_market_high,True,LOSE,-73.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,MIA@HOU,MIA,team_total,4.0,YES,0.051,0.531,62.0,-8.899999999999999,brain_high_market_high,True,LOSE,-62.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,SF@KC,KC,team_total,4.0,YES,0.0432,0.531,62.0,-8.899999999999999,brain_high_market_high,True,LOSE,-62.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,LAD@PHI,PHI,team_total,4.0,YES,0.0,0.531,62.0,-8.899999999999999,brain_high_market_high,True,WIN,38.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,LAD@PHI,LAD,team_total,4.0,YES,0.0,0.531,62.0,-8.899999999999999,brain_high_market_high,True,LOSE,-62.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,ATL@BAL,ATL,team_total,4.0,YES,0.0892,0.531,62.0,-8.899999999999999,brain_high_market_high,True,LOSE,-62.0
