game_date,away_team,home_team,away_abbr,home_abbr,reason,source_url
2025-08-17,Los Angeles Angels,Athletics Athletics,LAA,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-17
2025-08-19,Athletics Athletics,Minnesota Twins,,MIN,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-19
2025-08-20,Athletics Athletics,Minnesota Twins,,MIN,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-20
2025-08-21,Athletics Athletics,Minnesota Twins,,MIN,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-21
2025-08-22,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-22
2025-08-23,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-23
2025-08-24,Athletics Athletics,Seattle Mariners,,SEA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-24
2025-08-25,Detroit Tigers,Athletics Athletics,DET,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-25
2025-08-26,Detroit Tigers,Athletics Athletics,DET,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-26
2025-08-27,Detroit Tigers,Athletics Athletics,DET,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-27
2025-08-29,Texas Rangers,Athletics Athletics,TEX,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-29
2025-08-30,Texas Rangers,Athletics Athletics,TEX,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-30
2025-08-31,Texas Rangers,Athletics Athletics,TEX,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-08-31
2025-09-01,Athletics Athletics,St. Louis Cardinals,,STL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-01
2025-09-02,Athletics Athletics,St. Louis Cardinals,,STL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-02
2025-09-03,Athletics Athletics,St. Louis Cardinals,,STL,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-03
2025-09-05,Athletics Athletics,Los Angeles Angels,,LAA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-05
2025-09-06,Athletics Athletics,Los Angeles Angels,,LAA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-06
2025-09-07,Athletics Athletics,Los Angeles Angels,,LAA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-07
2025-09-08,Boston Red Sox,Athletics Athletics,BOS,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-08
2025-09-09,Boston Red Sox,Athletics Athletics,BOS,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-09
2025-09-10,Boston Red Sox,Athletics Athletics,BOS,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-10
2025-09-12,Cincinnati Reds,Athletics Athletics,CIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-12
2025-09-13,Cincinnati Reds,Athletics Athletics,CIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-13
2025-09-14,Cincinnati Reds,Athletics Athletics,CIN,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-14
2025-09-16,Athletics Athletics,Boston Red Sox,,BOS,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-16
2025-09-17,Athletics Athletics,Boston Red Sox,,BOS,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-17
2025-09-18,Athletics Athletics,Boston Red Sox,,BOS,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-18
2025-09-19,Athletics Athletics,Pittsburgh Pirates,,PIT,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-19
2025-09-20,Athletics Athletics,Pittsburgh Pirates,,PIT,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-20
2025-09-21,Athletics Athletics,Pittsburgh Pirates,,PIT,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-21
2025-09-23,Houston Astros,Athletics Athletics,HOU,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-09-23
