id,game_pk,checked_at,status,inning,inning_half,outs,away_score,home_score,balls,strikes,runner_state,current_batter,current_pitcher
17547,823128,2026-06-16T23:49:01.027194,Live,8,bottom,1,1,3,0,1,12-,Victor Robles,Keegan Akin
17546,825070,2026-06-16T23:48:29.404377,Live,8,bottom,0,7,0,0,0,,Jordan Lawlar,Kirby Yates
17545,824991,2026-06-16T23:48:28.118014,Live,7,top,2,5,5,0,0,,Ryan O'Hearn,Hogan Harris
17544,824912,2026-06-16T23:48:26.799502,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17543,823939,2026-06-16T23:48:25.490738,Live,8,top,0,0,1,0,2,,Chandler Simpson,Kyle Hurt
17542,823128,2026-06-16T23:48:24.183055,Live,8,bottom,1,1,3,0,1,12-,Victor Robles,Keegan Akin
17541,825070,2026-06-16T23:47:52.576954,Live,8,bottom,0,7,0,0,0,,Jordan Lawlar,Kirby Yates
17540,824991,2026-06-16T23:47:51.225217,Live,7,top,2,5,5,0,0,,Ryan O'Hearn,Hogan Harris
17539,824912,2026-06-16T23:47:50.025772,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17538,823939,2026-06-16T23:47:48.805323,Live,8,top,0,0,1,0,1,,Chandler Simpson,Kyle Hurt
17537,823128,2026-06-16T23:47:47.492661,Live,8,bottom,1,1,3,1,0,12-,Cole Young,Keegan Akin
17536,825070,2026-06-16T23:47:15.676804,Live,8,top,3,7,0,0,3,,Mike Trout,Drey Jameson
17535,824991,2026-06-16T23:47:14.077879,Live,7,top,2,3,5,0,0,1--,Bryan Reynolds,Hogan Harris
17534,824912,2026-06-16T23:47:12.565320,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17533,823939,2026-06-16T23:47:11.013391,Live,8,top,0,0,1,0,0,,Chandler Simpson,Kyle Hurt
17532,823128,2026-06-16T23:47:09.416827,Live,8,bottom,0,1,3,0,0,12-,Cole Young,Keegan Akin
17531,825070,2026-06-16T23:46:37.421263,Live,8,top,3,7,0,0,3,,Mike Trout,Drey Jameson
17530,824991,2026-06-16T23:46:35.768097,Live,7,top,1,3,5,3,2,1--,Brandon Lowe,Hogan Harris
17529,824912,2026-06-16T23:46:34.154507,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17528,823939,2026-06-16T23:46:32.573055,Live,8,top,0,0,1,0,0,,Chandler Simpson,Kyle Hurt
17527,823128,2026-06-16T23:46:31.187517,Live,8,bottom,0,1,3,3,2,1--,Rob Refsnyder,Keegan Akin
17526,825070,2026-06-16T23:45:59.613238,Live,8,top,2,7,0,0,2,-2-,Mike Trout,Drey Jameson
17525,824991,2026-06-16T23:45:58.339054,Live,7,top,1,3,5,3,1,1--,Brandon Lowe,Hogan Harris
17524,824912,2026-06-16T23:45:57.142452,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17523,823939,2026-06-16T23:45:55.956152,Live,7,bottom,3,0,1,2,3,,Alex Freeland,Drew Rasmussen
17522,823128,2026-06-16T23:45:54.703696,Live,8,bottom,0,1,3,2,2,1--,Rob Refsnyder,Keegan Akin
17521,825070,2026-06-16T23:45:23.106449,Live,8,top,2,7,0,0,0,-2-,Mike Trout,Drey Jameson
17520,824991,2026-06-16T23:45:21.814376,Live,7,top,1,3,5,2,0,1--,Brandon Lowe,Hogan Harris
17519,824912,2026-06-16T23:45:20.478268,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17518,823939,2026-06-16T23:45:19.228002,Live,7,bottom,3,0,1,2,3,,Alex Freeland,Drew Rasmussen
17517,823128,2026-06-16T23:45:17.886713,Live,8,bottom,0,1,3,1,1,1--,Rob Refsnyder,Keegan Akin
17516,825070,2026-06-16T23:44:46.283145,Live,8,top,1,7,0,3,2,-2-,Zach Neto,Drey Jameson
17515,824991,2026-06-16T23:44:44.929438,Live,7,top,1,3,5,0,0,1--,Brandon Lowe,Hogan Harris
17514,824912,2026-06-16T23:44:43.649200,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17513,823939,2026-06-16T23:44:42.322969,Live,7,bottom,2,0,1,2,2,,Alex Freeland,Drew Rasmussen
17512,823128,2026-06-16T23:44:40.985797,Live,8,bottom,0,1,3,0,0,1--,Rob Refsnyder,Keegan Akin
17511,825070,2026-06-16T23:44:09.334778,Live,8,top,1,7,0,2,1,-2-,Zach Neto,Drey Jameson
17510,824991,2026-06-16T23:44:08.018655,Live,7,top,1,3,5,3,1,,Spencer Horwitz,Hogan Harris
17509,824912,2026-06-16T23:44:06.732448,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17508,823939,2026-06-16T23:44:05.463902,Live,7,bottom,2,0,1,2,2,,Alex Freeland,Drew Rasmussen
17507,823128,2026-06-16T23:44:04.127877,Live,8,bottom,0,1,3,2,2,,Dominic Canzone,Keegan Akin
17506,825070,2026-06-16T23:43:32.431005,Live,8,top,1,7,0,0,1,-2-,Zach Neto,Drey Jameson
17505,824991,2026-06-16T23:43:31.134132,Live,7,top,1,3,5,0,1,,Spencer Horwitz,Hogan Harris
17504,824912,2026-06-16T23:43:29.859367,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17503,823939,2026-06-16T23:43:28.615766,Live,7,bottom,2,0,1,1,1,,Alex Freeland,Drew Rasmussen
17502,823128,2026-06-16T23:43:27.344068,Live,8,bottom,0,1,3,2,0,,Dominic Canzone,Keegan Akin
17501,825070,2026-06-16T23:42:55.646994,Live,8,top,1,7,0,0,1,-2-,Zach Neto,Drey Jameson
17500,824991,2026-06-16T23:42:54.308620,Live,7,top,0,3,5,2,2,,Jared Triolo,Hogan Harris
17499,824912,2026-06-16T23:42:53.024876,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17498,823939,2026-06-16T23:42:51.751980,Live,7,bottom,2,0,1,0,0,,Alex Freeland,Drew Rasmussen
17497,823128,2026-06-16T23:42:50.398962,Live,8,bottom,0,1,3,0,0,,Dominic Canzone,Keegan Akin
17496,825070,2026-06-16T23:42:18.763538,Live,8,top,1,6,0,1,1,-2-,Donovan Walton,Drey Jameson
17495,824991,2026-06-16T23:42:17.462986,Live,7,top,0,3,5,1,2,,Jared Triolo,Hogan Harris
17494,824912,2026-06-16T23:42:16.141633,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17493,823939,2026-06-16T23:42:14.813211,Live,7,bottom,1,0,1,1,2,,Ryan Ward,Drew Rasmussen
17492,823128,2026-06-16T23:42:13.518145,Live,8,bottom,0,1,3,0,0,,Dominic Canzone,Keegan Akin
17491,825070,2026-06-16T23:41:41.879216,Live,8,top,1,6,0,0,1,1--,Donovan Walton,Drey Jameson
