game_date,away_team,home_team,start_time,away_pitcher,home_pitcher,sportsbook,away_moneyline,home_moneyline,opener_away,opener_home,source_url,parse_method
2026-04-25,Cleveland Guardians,Toronto Blue Jays,2026-04-25T19:07:00,J. Cantillo,K. Gausman,DraftKings,+123,-149,+119,-143,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Cleveland Guardians,Toronto Blue Jays,2026-04-25T19:07:00,J. Cantillo,K. Gausman,Fanatics Sportsbook,+125,-150,+120,-145,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Miami Marlins,San Francisco Giants,2026-04-25T20:05:00,E. Perez,R. Ray,BetMGM,-110,-110,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Miami Marlins,San Francisco Giants,2026-04-25T20:05:00,E. Perez,R. Ray,FanDuel,-106,-110,+112,-132,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Miami Marlins,San Francisco Giants,2026-04-25T20:05:00,E. Perez,R. Ray,Caesars,-105,-115,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Miami Marlins,San Francisco Giants,2026-04-25T20:05:00,E. Perez,R. Ray,bet365,-110,-110,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Miami Marlins,San Francisco Giants,2026-04-25T20:05:00,E. Perez,R. Ray,DraftKings,-108,-112,+104,-126,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Miami Marlins,San Francisco Giants,2026-04-25T20:05:00,E. Perez,R. Ray,Fanatics Sportsbook,-115,-105,+105,-125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Washington Nationals,Chicago White Sox,2026-04-25T20:10:00,J. Irvin,N. Schultz,BetMGM,+118,-140,+120,-145,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Washington Nationals,Chicago White Sox,2026-04-25T20:10:00,J. Irvin,N. Schultz,FanDuel,+122,-144,+116,-136,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Washington Nationals,Chicago White Sox,2026-04-25T20:10:00,J. Irvin,N. Schultz,Caesars,+118,-140,+115,-135,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Washington Nationals,Chicago White Sox,2026-04-25T20:10:00,J. Irvin,N. Schultz,bet365,+120,-140,+115,-135,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Washington Nationals,Chicago White Sox,2026-04-25T20:10:00,J. Irvin,N. Schultz,DraftKings,+119,-143,+119,-143,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Washington Nationals,Chicago White Sox,2026-04-25T20:10:00,J. Irvin,N. Schultz,Fanatics Sportsbook,+120,-145,+115,-140,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
2026-04-25,Minnesota Twins,Tampa Bay Rays,2026-04-25T20:10:00,B. Ober,S. McClanahan,BetMGM,+110,-130,+110,-130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-04-25,embedded_json
