season,state_bucket,offense_form_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_5_plus_f5_1_5,50_55,508,0.9646,0.0354,0.3917,0.5098,0.4154,0.0295,1894,0.9498,0.0148,0.0692,-0.0338,0.3685,0.0232,0.5148,-0.005,0.4197,-0.0043,0.0533,-0.0238
2025,up_1_f5_1_5,55_60,500,0.678,0.49,0.37,0.514,0.416,0.964,3632,0.6352,0.0428,0.5765,-0.0865,0.4025,-0.0325,0.5498,-0.0358,0.4452,-0.0292,0.9722,-0.0082
2024,up_3_early_1_3,45_50,494,0.7794,0.336,0.417,0.5749,0.4777,0.2652,1634,0.8237,-0.0443,0.2803,0.0557,0.4002,0.0168,0.5532,0.0217,0.4278,0.0499,0.2301,0.0351
2023,up_5_plus_late_7_plus,60_plus,492,0.9898,0.0102,0.311,0.3699,0.3008,0.0244,4855,0.9946,-0.0048,0.0072,0.003,0.3574,-0.0464,0.4122,-0.0423,0.3429,-0.0421,0.0185,0.0059
2024,up_2_early_1_3,40_45,490,0.7388,0.4347,0.3633,0.5102,0.3735,0.3735,3030,0.7429,-0.0041,0.4502,-0.0155,0.3835,-0.0202,0.5419,-0.0317,0.4145,-0.041,0.4145,-0.041
2025,up_5_plus_f5_1_5,45_50,489,0.9407,0.0818,0.4315,0.5665,0.4622,0.0429,1789,0.9631,-0.0224,0.0598,0.022,0.4203,0.0112,0.5696,-0.0031,0.4477,0.0145,0.0464,-0.0035
2025,up_3_f5_1_5,50_55,487,0.8563,0.2259,0.3552,0.5318,0.423,0.2444,1710,0.8643,-0.008,0.2216,0.0043,0.3713,-0.0161,0.5222,0.0096,0.4146,0.0084,0.2444,0.0
2023,up_1_middle_6,50_55,481,0.6881,0.526,0.4033,0.5634,0.4657,0.9626,1639,0.6705,0.0176,0.5095,0.0165,0.3905,0.0128,0.5503,0.0131,0.446,0.0197,0.975,-0.0124
2025,up_2_early_1_3,40_45,481,0.6798,0.5509,0.4387,0.5967,0.5239,0.5239,2763,0.7351,-0.0553,0.4629,0.088,0.3959,0.0428,0.553,0.0437,0.447,0.0769,0.447,0.0769
2023,up_5_plus_f5_1_5,50_55,476,0.9748,0.0651,0.4202,0.5693,0.479,0.0609,1901,0.9605,0.0143,0.0631,0.002,0.3924,0.0278,0.5692,0.0001,0.4477,0.0313,0.0568,0.0041
2023,up_1_middle_6,45_50,473,0.6617,0.5137,0.3953,0.5476,0.444,0.9894,1639,0.6705,-0.0088,0.5095,0.0042,0.3905,0.0048,0.5503,-0.0027,0.446,-0.002,0.975,0.0144
2024,up_2_f5_1_5,40_45,471,0.8493,0.2781,0.3206,0.4926,0.3652,0.3652,2806,0.7744,0.0749,0.3553,-0.0772,0.3813,-0.0607,0.5474,-0.0548,0.4195,-0.0543,0.4195,-0.0543
2023,up_3_f5_1_5,45_50,468,0.8291,0.2415,0.4167,0.6132,0.4786,0.2543,1832,0.8264,0.0027,0.2735,-0.032,0.4099,0.0068,0.5617,0.0515,0.4481,0.0305,0.2702,-0.0159
2023,up_2_early_1_3,40_45,465,0.6301,0.5699,0.4258,0.5914,0.471,0.471,2917,0.7011,-0.071,0.505,0.0649,0.432,-0.0062,0.5883,0.0031,0.4758,-0.0048,0.4758,-0.0048
2024,up_1_middle_6,45_50,465,0.6151,0.5333,0.4172,0.572,0.4774,0.9763,1608,0.658,-0.0429,0.51,0.0233,0.3943,0.0229,0.5647,0.0073,0.449,0.0284,0.9826,-0.0063
2024,up_3_late_7_plus,40_45,464,0.9591,0.0862,0.3707,0.4138,0.3599,0.1638,2744,0.953,0.0061,0.0678,0.0184,0.3287,0.042,0.3812,0.0326,0.32,0.0399,0.1396,0.0242
2025,up_1_middle_6,50_55,461,0.6616,0.5163,0.397,0.5271,0.4338,0.9761,1601,0.6721,-0.0105,0.4859,0.0304,0.3691,0.0279,0.524,0.0031,0.4204,0.0134,0.9781,-0.002
2023,up_3_early_1_3,50_55,459,0.793,0.3508,0.4314,0.5948,0.4597,0.2723,1690,0.774,0.019,0.3657,-0.0149,0.4385,-0.0071,0.5964,-0.0016,0.458,0.0017,0.2817,-0.0094
2023,up_2_late_7_plus,55_60,454,0.8282,0.2511,0.3568,0.4207,0.3789,0.3789,3321,0.8814,-0.0532,0.174,0.0771,0.3342,0.0226,0.3927,0.028,0.3219,0.057,0.3219,0.057
2025,up_5_plus_f5_1_5,50_55,453,0.9647,0.0508,0.3488,0.5386,0.3929,0.0419,1789,0.9631,0.0016,0.0598,-0.009,0.4203,-0.0715,0.5696,-0.031,0.4477,-0.0548,0.0464,-0.0045
2025,up_3_early_1_3,50_55,447,0.8031,0.3356,0.4072,0.5772,0.4653,0.2707,1574,0.8113,-0.0082,0.3253,0.0103,0.3952,0.012,0.5559,0.0213,0.425,0.0403,0.2541,0.0166
2024,up_2_late_7_plus,55_60,446,0.9013,0.1435,0.3027,0.352,0.2713,0.2713,3327,0.8744,0.0269,0.1776,-0.0341,0.3408,-0.0381,0.3956,-0.0436,0.3267,-0.0554,0.3267,-0.0554
