season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_1_f5_1_5,55_60,682,0.2918,0.5499,0.371,0.5132,0.4106,0.9677,3632,0.3648,-0.073,0.5765,-0.0266,0.4025,-0.0315,0.5498,-0.0366,0.4452,-0.0346,0.9722,-0.0045
2025,down_2_late_7_plus,55_60,681,0.0808,0.1836,0.3172,0.3789,0.3216,0.3216,3185,0.1058,-0.025,0.1799,0.0037,0.3341,-0.0169,0.3962,-0.0173,0.3353,-0.0137,0.3353,-0.0137
2023,down_1_late_7_plus,55_60,673,0.2571,0.3418,0.3759,0.422,0.3418,0.9614,4144,0.2266,0.0305,0.3313,0.0105,0.3448,0.0311,0.3924,0.0296,0.3313,0.0105,0.9718,-0.0104
2024,down_2_late_7_plus,55_60,661,0.0862,0.1573,0.3086,0.348,0.3011,0.3011,3327,0.1214,-0.0352,0.1776,-0.0203,0.3408,-0.0322,0.3956,-0.0476,0.3267,-0.0256,0.3267,-0.0256
2023,down_5_plus_late_7_plus,40_45,660,0.0061,0.0091,0.3985,0.4667,0.3909,0.0197,4855,0.0054,0.0007,0.0072,0.0019,0.3574,0.0411,0.4122,0.0545,0.3429,0.048,0.0185,0.0012
2024,down_1_f5_1_5,55_60,657,0.312,0.5266,0.3775,0.5571,0.4049,0.9726,3704,0.3386,-0.0266,0.5702,-0.0436,0.4023,-0.0248,0.5664,-0.0093,0.4355,-0.0306,0.9754,-0.0028
2024,down_4_late_7_plus,50_55,657,0.0091,0.0167,0.3272,0.3836,0.3333,0.0685,2139,0.0276,-0.0185,0.0383,-0.0216,0.323,0.0042,0.3806,0.003,0.3249,0.0084,0.0827,-0.0142
2024,down_2_early_1_3,55_60,637,0.2936,0.427,0.4097,0.5447,0.3909,0.3909,3030,0.2554,0.0382,0.4502,-0.0232,0.3835,0.0262,0.5419,0.0028,0.4145,-0.0236,0.4145,-0.0236
2024,down_5_plus_late_7_plus,40_45,637,0.0141,0.022,0.3265,0.3925,0.3218,0.0581,5053,0.0073,0.0068,0.0113,0.0107,0.3275,-0.001,0.3794,0.0131,0.3137,0.0081,0.0263,0.0318
2023,down_1_f5_1_5,55_60,613,0.2953,0.4976,0.3409,0.4959,0.3817,0.9608,3577,0.3528,-0.0575,0.5801,-0.0825,0.4082,-0.0673,0.5639,-0.068,0.4507,-0.069,0.9723,-0.0115
2024,down_5_plus_f5_1_5,50_55,613,0.0163,0.031,0.2887,0.4111,0.3083,0.0294,1894,0.0491,-0.0328,0.0692,-0.0382,0.3685,-0.0798,0.5148,-0.1037,0.4197,-0.1114,0.0533,-0.0239
2024,down_4_late_7_plus,45_50,611,0.0491,0.0589,0.3191,0.3961,0.3322,0.0982,2139,0.0276,0.0215,0.0383,0.0206,0.323,-0.0039,0.3806,0.0155,0.3249,0.0073,0.0827,0.0155
2023,down_2_late_7_plus,55_60,606,0.1601,0.1947,0.3218,0.363,0.3003,0.3003,3321,0.1186,0.0415,0.174,0.0207,0.3342,-0.0124,0.3927,-0.0297,0.3219,-0.0216,0.3219,-0.0216
2025,down_4_late_7_plus,50_55,604,0.0265,0.0315,0.2599,0.3162,0.2368,0.0778,1928,0.0239,0.0026,0.0311,0.0004,0.2822,-0.0223,0.333,-0.0168,0.2573,-0.0205,0.0705,0.0073
