model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
tier_modifier,comeback,down_1_early_1_3,opponent_team_strength_bucket,40_45,"2023,2024,2025",1565,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.434,0.0576,0.0459,0.0651
tier_modifier,comeback,down_1_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",1147,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.493,0.1166,0.0925,0.1449
tier_modifier,comeback,down_1_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",1147,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6079,0.0514,0.0037,0.08
tier_modifier,comeback,down_1_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",1147,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.7341,0.0956,0.0443,0.1494
tier_modifier,comeback,down_1_early_1_3,team_strength_bucket,55_60,"2023,2024,2025",2327,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4297,0.0532,0.0452,0.0576
tier_modifier,comeback,down_1_f5_1_5,home_away,home,"2023,2024,2025",5666,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6001,0.0401,0.0313,0.0449
tier_modifier,comeback,down_1_f5_1_5,opponent_run_prevention_bucket,60_plus,"2023,2024,2025",611,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4034,0.0513,0.0352,0.0692
tier_modifier,comeback,down_1_f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",773,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4149,0.0628,0.0492,0.0885
tier_modifier,comeback,down_1_f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",773,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tied_or_led_later,0.6272,0.0516,0.0032,0.0768
tier_modifier,comeback,down_1_f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",1032,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4036,0.0515,0.0419,0.0696
tier_modifier,comeback,down_1_f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",1032,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6106,0.0505,0.034,0.065
