season,state_bucket,home_away,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2023,down_4_late_7_plus,home,1175,0.0281,0.0451,0.3557,0.3932,0.3072,0.0877,2125,0.0245,0.0036,0.0381,0.007,0.3233,0.0324,0.3751,0.0181,0.2894,0.0178,0.0776,0.0101
2023,down_3_late_7_plus,away,1143,0.0367,0.0709,0.3115,0.378,0.2896,0.1514,2579,0.0613,-0.0246,0.0954,-0.0245,0.3373,-0.0258,0.3889,-0.0109,0.3075,-0.0179,0.1706,-0.0192
2025,down_3_late_7_plus,away,1133,0.03,0.0618,0.2851,0.3451,0.2842,0.1377,2484,0.0431,-0.0131,0.0761,-0.0143,0.318,-0.0329,0.3732,-0.0281,0.3019,-0.0177,0.1514,-0.0137
2025,down_4_late_7_plus,home,1038,0.0289,0.0356,0.3189,0.3603,0.2755,0.0857,1928,0.0239,0.005,0.0311,0.0045,0.2822,0.0367,0.333,0.0273,0.2573,0.0182,0.0705,0.0152
2023,down_5_plus_f5_1_5,home,1030,0.0583,0.0883,0.4417,0.5913,0.4738,0.0699,1901,0.0395,0.0188,0.0631,0.0252,0.3924,0.0493,0.5692,0.0221,0.4477,0.0261,0.0568,0.0131
2024,down_3_f5_1_5,home,1008,0.1607,0.255,0.4365,0.5655,0.4593,0.2827,1931,0.13,0.0307,0.2258,0.0292,0.392,0.0445,0.5298,0.0357,0.4247,0.0346,0.2496,0.0331
2024,down_5_plus_f5_1_5,home,967,0.0651,0.0889,0.4199,0.5533,0.4447,0.0724,1894,0.0491,0.016,0.0692,0.0197,0.3685,0.0514,0.5148,0.0385,0.4197,0.025,0.0533,0.0191
2023,down_3_early_1_3,home,952,0.25,0.3866,0.5378,0.6922,0.5431,0.3235,1690,0.226,0.024,0.3657,0.0209,0.4385,0.0993,0.5964,0.0958,0.458,0.0851,0.2817,0.0418
2023,down_4_late_7_plus,away,950,0.02,0.0295,0.2832,0.3526,0.2674,0.0653,2125,0.0245,-0.0045,0.0381,-0.0086,0.3233,-0.0401,0.3751,-0.0225,0.2894,-0.022,0.0776,-0.0123
2023,down_3_f5_1_5,home,941,0.2051,0.3156,0.492,0.6238,0.4963,0.3071,1832,0.1736,0.0315,0.2735,0.0421,0.4099,0.0821,0.5617,0.0621,0.4481,0.0482,0.2702,0.0369
2024,down_4_late_7_plus,away,931,0.0172,0.0236,0.2889,0.3577,0.3126,0.0698,2139,0.0276,-0.0104,0.0383,-0.0147,0.323,-0.0341,0.3806,-0.0229,0.3249,-0.0123,0.0827,-0.0129
2024,down_5_plus_f5_1_5,away,927,0.0324,0.0485,0.315,0.4746,0.3937,0.0334,1894,0.0491,-0.0167,0.0692,-0.0207,0.3685,-0.0535,0.5148,-0.0402,0.4197,-0.026,0.0533,-0.0199
2024,down_3_f5_1_5,away,923,0.0964,0.1939,0.3434,0.4908,0.3868,0.2134,1931,0.13,-0.0336,0.2258,-0.0319,0.392,-0.0486,0.5298,-0.039,0.4247,-0.0379,0.2496,-0.0362
2025,down_5_plus_f5_1_5,away,903,0.0321,0.0443,0.3511,0.5017,0.4109,0.052,1789,0.0369,-0.0048,0.0598,-0.0155,0.4203,-0.0692,0.5696,-0.0679,0.4477,-0.0368,0.0464,0.0056
2023,down_3_f5_1_5,away,891,0.1403,0.229,0.3232,0.4961,0.3973,0.2312,1832,0.1736,-0.0333,0.2735,-0.0445,0.4099,-0.0867,0.5617,-0.0656,0.4481,-0.0508,0.2702,-0.039
2025,down_4_late_7_plus,away,890,0.018,0.0258,0.2393,0.3011,0.236,0.0528,1928,0.0239,-0.0059,0.0311,-0.0053,0.2822,-0.0429,0.333,-0.0319,0.2573,-0.0213,0.0705,-0.0177
2025,down_5_plus_f5_1_5,home,886,0.0418,0.0756,0.491,0.6388,0.4853,0.0406,1789,0.0369,0.0049,0.0598,0.0158,0.4203,0.0707,0.5696,0.0692,0.4477,0.0376,0.0464,-0.0058
2025,down_3_f5_1_5,away,881,0.118,0.202,0.3133,0.4858,0.3939,0.2157,1710,0.1357,-0.0177,0.2216,-0.0196,0.3713,-0.058,0.5222,-0.0364,0.4146,-0.0207,0.2444,-0.0287
2024,down_3_early_1_3,home,877,0.1984,0.3136,0.48,0.6021,0.4629,0.2463,1634,0.1707,0.0277,0.2803,0.0333,0.4002,0.0798,0.5532,0.0489,0.4278,0.0351,0.2301,0.0162
2023,down_5_plus_f5_1_5,away,871,0.0172,0.0333,0.3341,0.5431,0.4168,0.0413,1901,0.0395,-0.0223,0.0631,-0.0298,0.3924,-0.0583,0.5692,-0.0261,0.4477,-0.0309,0.0568,-0.0155
2023,down_1_middle_6,home,855,0.3673,0.5228,0.4398,0.5848,0.4667,0.9766,1639,0.3295,0.0378,0.5095,0.0133,0.3905,0.0493,0.5503,0.0345,0.446,0.0207,0.975,0.0016
2025,down_3_f5_1_5,home,829,0.1544,0.2425,0.4331,0.5609,0.4367,0.275,1710,0.1357,0.0187,0.2216,0.0209,0.3713,0.0618,0.5222,0.0387,0.4146,0.0221,0.2444,0.0306
2025,down_3_early_1_3,home,825,0.2048,0.3806,0.4921,0.6364,0.5006,0.3115,1574,0.1887,0.0161,0.3253,0.0553,0.3952,0.0969,0.5559,0.0805,0.425,0.0756,0.2541,0.0574
2024,down_1_middle_6,home,813,0.3813,0.5572,0.4711,0.6199,0.5018,0.9914,1608,0.3346,0.0467,0.51,0.0472,0.3943,0.0768,0.5647,0.0552,0.449,0.0528,0.9826,0.0088
2025,down_1_middle_6,away,807,0.2739,0.4436,0.3123,0.4783,0.3792,0.9752,1601,0.3279,-0.054,0.4859,-0.0423,0.3691,-0.0568,0.524,-0.0457,0.4204,-0.0412,0.9781,-0.0029
