season,state_bucket,opponent_team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_5_plus_middle_6,50_55,508,0.0098,0.0177,0.4075,0.5807,0.4528,0.0453,1288,0.0194,-0.0096,0.0272,-0.0095,0.3773,0.0302,0.5435,0.0372,0.4045,0.0483,0.038,0.0073
2024,down_2_early_1_3,55_60,506,0.2253,0.4032,0.3834,0.5296,0.3972,0.3972,3030,0.2554,-0.0301,0.4502,-0.047,0.3835,-0.0001,0.5419,-0.0123,0.4145,-0.0173,0.4145,-0.0173
2025,down_5_plus_late_7_plus,40_45,506,0.0059,0.0059,0.3458,0.3953,0.3399,0.0257,5064,0.0057,0.0002,0.0079,-0.002,0.3474,-0.0016,0.4017,-0.0064,0.3323,0.0076,0.0166,0.0091
2025,down_4_late_7_plus,45_50,492,0.0305,0.0508,0.3028,0.3516,0.2642,0.0671,1928,0.0239,0.0066,0.0311,0.0197,0.2822,0.0206,0.333,0.0186,0.2573,0.0069,0.0705,-0.0034
2023,down_1_early_1_3,60_plus,485,0.3134,0.5856,0.367,0.5258,0.4144,0.9588,5257,0.3827,-0.0693,0.6371,-0.0515,0.4141,-0.0471,0.5632,-0.0374,0.4392,-0.0248,0.9583,0.0005
2024,down_1_middle_6,45_50,483,0.2961,0.4617,0.3665,0.5259,0.4265,0.9772,1608,0.3346,-0.0385,0.51,-0.0483,0.3943,-0.0278,0.5647,-0.0388,0.449,-0.0225,0.9826,-0.0054
2024,down_1_middle_6,50_55,482,0.3237,0.5,0.4232,0.612,0.473,0.9813,1608,0.3346,-0.0109,0.51,-0.01,0.3943,0.0289,0.5647,0.0473,0.449,0.024,0.9826,-0.0013
2023,down_1_f5_1_5,55_60,477,0.3145,0.5388,0.3941,0.5618,0.4235,0.9727,3577,0.3528,-0.0383,0.5801,-0.0413,0.4082,-0.0141,0.5639,-0.0021,0.4507,-0.0272,0.9723,0.0004
2024,down_5_plus_middle_6,50_55,473,0.0127,0.0169,0.3805,0.4757,0.4186,0.0211,1412,0.0184,-0.0057,0.0269,-0.01,0.3817,-0.0012,0.5163,-0.0406,0.4256,-0.007,0.0276,-0.0065
2024,down_3_early_1_3,50_55,460,0.1283,0.2174,0.3739,0.5087,0.3804,0.1783,1634,0.1707,-0.0424,0.2803,-0.0629,0.4002,-0.0263,0.5532,-0.0445,0.4278,-0.0474,0.2301,-0.0518
2025,down_4_f5_1_5,50_55,456,0.0921,0.1228,0.3947,0.5482,0.4539,0.1469,1146,0.0864,0.0057,0.1257,-0.0029,0.3927,0.002,0.5515,-0.0033,0.4564,-0.0025,0.1405,0.0064
2023,down_4_late_7_plus,45_50,454,0.0198,0.0374,0.3789,0.4207,0.3546,0.0903,2125,0.0245,-0.0047,0.0381,-0.0007,0.3233,0.0556,0.3751,0.0456,0.2894,0.0652,0.0776,0.0127
2023,down_5_plus_middle_6,50_55,451,0.0288,0.0288,0.408,0.5809,0.4812,0.0244,1330,0.0195,0.0093,0.0331,-0.0043,0.4113,-0.0033,0.5887,-0.0078,0.4549,0.0263,0.0406,-0.0162
2023,down_2_middle_6,50_55,448,0.1942,0.3237,0.3705,0.4866,0.4062,0.4062,1240,0.1984,-0.0042,0.3056,0.0181,0.3903,-0.0198,0.5379,-0.0513,0.4323,-0.0261,0.4323,-0.0261
2025,down_2_early_1_3,55_60,446,0.2511,0.4305,0.4283,0.5919,0.4888,0.4888,2763,0.2649,-0.0138,0.4629,-0.0324,0.3959,0.0324,0.553,0.0389,0.447,0.0418,0.447,0.0418
2023,down_2_early_1_3,55_60,445,0.3101,0.5663,0.4292,0.6022,0.4921,0.4921,2917,0.2989,0.0112,0.505,0.0613,0.432,-0.0028,0.5883,0.0139,0.4758,0.0163,0.4758,0.0163
2025,down_3_late_7_plus,55_60,444,0.0586,0.0811,0.2815,0.3356,0.2613,0.1532,2484,0.0431,0.0155,0.0761,0.005,0.318,-0.0365,0.3732,-0.0376,0.3019,-0.0406,0.1514,0.0018
2025,down_2_middle_6,50_55,442,0.181,0.3145,0.4027,0.543,0.4434,0.4434,1273,0.1728,0.0082,0.3009,0.0136,0.392,0.0107,0.5169,0.0261,0.4171,0.0263,0.4171,0.0263
2025,down_3_f5_1_5,45_50,434,0.1037,0.1774,0.3779,0.5461,0.4378,0.2235,1710,0.1357,-0.032,0.2216,-0.0442,0.3713,0.0066,0.5222,0.0239,0.4146,0.0232,0.2444,-0.0209
2023,down_2_late_7_plus,55_60,431,0.0905,0.1439,0.3318,0.3735,0.3132,0.3132,3321,0.1186,-0.0281,0.174,-0.0301,0.3342,-0.0024,0.3927,-0.0192,0.3219,-0.0087,0.3219,-0.0087
2025,down_1_late_7_plus,40_45,424,0.1887,0.2594,0.2759,0.3231,0.2594,0.9741,4136,0.2038,-0.0151,0.3039,-0.0445,0.3138,-0.0379,0.3656,-0.0425,0.3039,-0.0445,0.9768,-0.0027
2024,down_3_late_7_plus,55_60,422,0.0521,0.0664,0.3057,0.372,0.2275,0.1043,2744,0.0466,0.0055,0.0678,-0.0014,0.3287,-0.023,0.3812,-0.0092,0.32,-0.0925,0.1396,-0.0353
2024,down_1_early_1_3,lt_40,418,0.5024,0.7799,0.4282,0.6268,0.5024,0.9569,5340,0.3575,0.1449,0.6305,0.1494,0.3964,0.0318,0.5468,0.08,0.4255,0.0769,0.9541,0.0028
2025,down_2_f5_1_5,55_60,415,0.2048,0.3157,0.412,0.5542,0.4241,0.4241,2589,0.2364,-0.0316,0.4002,-0.0845,0.409,0.003,0.5577,-0.0035,0.4434,-0.0193,0.4434,-0.0193
2024,down_2_f5_1_5,55_60,414,0.1812,0.3043,0.3285,0.4976,0.3599,0.3599,2806,0.2217,-0.0405,0.3553,-0.051,0.3813,-0.0528,0.5474,-0.0498,0.4195,-0.0596,0.4195,-0.0596
2023,down_1_middle_6,45_50,407,0.3022,0.4644,0.371,0.5479,0.4103,0.9803,1639,0.3295,-0.0273,0.5095,-0.0451,0.3905,-0.0195,0.5503,-0.0024,0.446,-0.0357,0.975,0.0053
2024,down_1_early_1_3,40_45,407,0.4226,0.6585,0.4103,0.5577,0.4447,0.9509,5340,0.3575,0.0651,0.6305,0.028,0.3964,0.0139,0.5468,0.0109,0.4255,0.0192,0.9541,-0.0032
2023,down_5_plus_f5_1_5,45_50,406,0.0567,0.0788,0.3966,0.6034,0.4778,0.0443,1901,0.0395,0.0172,0.0631,0.0157,0.3924,0.0042,0.5692,0.0342,0.4477,0.0301,0.0568,-0.0125
