season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_2_f5_1_5,mid_3_5_4_5,776,0.7552,0.4059,0.4601,0.6198,0.4974,0.4974,2652,0.7534,0.0018,0.4163,-0.0104,0.4427,0.0174,0.592,0.0278,0.4729,0.0245,0.4729,0.0245
2024,up_1_late_7_plus,very_high_5_5_plus,773,0.7891,0.3312,0.3674,0.4282,0.3312,0.978,4150,0.7598,0.0293,0.3383,-0.0071,0.3525,0.0149,0.4051,0.0231,0.3383,-0.0071,0.974,0.004
2025,up_1_late_7_plus,very_high_5_5_plus,768,0.832,0.263,0.2826,0.3229,0.263,0.9766,4136,0.7962,0.0358,0.3039,-0.0409,0.3138,-0.0312,0.3656,-0.0427,0.3039,-0.0409,0.9768,-0.0002
2025,up_2_early_1_3,high_4_5_5_5,768,0.7539,0.4427,0.3997,0.5625,0.4505,0.4505,2763,0.7351,0.0188,0.4629,-0.0202,0.3959,0.0038,0.553,0.0095,0.447,0.0035,0.447,0.0035
2025,up_3_late_7_plus,high_4_5_5_5,763,0.9725,0.0564,0.27,0.3224,0.2621,0.1442,2484,0.9569,0.0156,0.0761,-0.0197,0.318,-0.048,0.3732,-0.0508,0.3019,-0.0398,0.1514,-0.0072
2023,up_3_late_7_plus,mid_3_5_4_5,762,0.9409,0.0906,0.3255,0.3793,0.3045,0.1549,2579,0.9387,0.0022,0.0954,-0.0048,0.3373,-0.0118,0.3889,-0.0096,0.3075,-0.003,0.1706,-0.0157
2023,up_1_f5_1_5,very_high_5_5_plus,738,0.6409,0.542,0.4214,0.5664,0.4214,0.9702,3577,0.6472,-0.0063,0.5801,-0.0381,0.4082,0.0132,0.5639,0.0025,0.4507,-0.0293,0.9723,-0.0021
2023,up_1_early_1_3,low_lt_3_5,736,0.591,0.7011,0.4457,0.5856,0.4688,0.9592,5257,0.6173,-0.0263,0.6371,0.064,0.4141,0.0316,0.5632,0.0224,0.4392,0.0296,0.9583,0.0009
2024,up_1_late_7_plus,low_lt_3_5,732,0.7978,0.2923,0.3238,0.373,0.2923,0.9836,4150,0.7598,0.038,0.3383,-0.046,0.3525,-0.0287,0.4051,-0.0321,0.3383,-0.046,0.974,0.0096
2023,up_2_late_7_plus,very_high_5_5_plus,718,0.8788,0.2033,0.3315,0.3788,0.3426,0.3426,3321,0.8814,-0.0026,0.174,0.0293,0.3342,-0.0027,0.3927,-0.0139,0.3219,0.0207,0.3219,0.0207
2023,up_4_late_7_plus,high_4_5_5_5,717,0.9819,0.0404,0.3305,0.3863,0.2845,0.0921,2125,0.9755,0.0064,0.0381,0.0023,0.3233,0.0072,0.3751,0.0112,0.2894,-0.0049,0.0776,0.0145
