blocked_reason,runs_needed_team_bucket,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
wide_spread_hard_block: spread=22c > 12c,need_5,1,1,0,1,0.0,-58.0,-58.0,58.0,-1.0,-8.0,-8.0,-8.0,-8.0,0.0,0.0,-8.0,-8.0,48.0,34.6,5.0,1.0,22.0
wide_spread_hard_block: spread=46c > 12c,need_7_plus,1,1,0,1,0.0,-53.0,-53.0,53.0,-1.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,-3.0,-3.0,48.0,34.3,8.0,4.0,46.0
wide_spread_hard_block: spread=35c > 12c,need_4,1,1,0,1,0.0,-85.0,-85.0,85.0,-1.0,-35.0,-35.0,-35.0,-35.0,0.0,0.0,-17.5,-35.0,48.0,27.8,4.0,0.0,35.0
wide_spread_hard_block: spread=43c > 12c,need_4,1,1,0,1,0.0,-52.0,-52.0,52.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,50.0,35.2,4.0,-3.0,43.0
wide_spread_hard_block: spread=33c > 12c,need_7_plus,1,1,0,1,0.0,-40.0,-40.0,40.0,-1.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,50.0,35.2,7.0,0.0,33.0
wide_spread_hard_block: spread=47c > 12c,need_6,1,1,0,1,0.0,-54.0,-54.0,54.0,-1.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,-4.0,-4.0,50.0,35.2,6.0,-1.0,47.0
wide_spread_hard_block: spread=27c > 12c,need_5,1,1,0,1,0.0,-36.0,-36.0,36.0,-1.0,14.0,14.0,14.0,14.0,1.0,1.0,14.0,-1.5,50.0,35.2,5.0,-3.0,27.0
wide_spread_hard_block: spread=42c > 12c,need_3,1,1,1,0,1.0,14.0,14.0,86.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,-36.0,-36.0,48.0,34.6,3.0,-1.0,42.0
wide_spread_hard_block: spread=37c > 12c,need_2,1,1,1,0,1.0,27.0,27.0,73.0,0.3699,-23.0,-23.0,-23.0,-23.0,0.0,0.0,-23.0,-23.0,50.0,35.2,2.0,-6.0,37.0
wide_spread_hard_block: spread=47c > 12c,need_3,1,1,1,0,1.0,14.0,14.0,86.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,-36.0,-36.0,48.0,34.6,3.0,-1.0,47.0
wide_spread_hard_block: spread=40c > 12c,need_4,1,1,0,1,0.0,-49.0,-49.0,49.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,35.2,4.0,-4.0,40.0
wide_spread_hard_block: spread=56c > 12c,need_4,1,1,0,1,0.0,-66.0,-66.0,66.0,-1.0,-16.0,-16.0,-16.0,-16.0,0.0,0.0,-16.0,-16.0,50.0,35.2,4.0,-4.0,56.0
wide_spread_hard_block: spread=50c > 12c,need_7_plus,1,1,0,1,0.0,-57.0,-57.0,57.0,-1.0,-7.0,-7.0,-7.0,-7.0,0.0,0.0,-7.0,-7.0,50.0,35.2,7.0,-1.0,50.0
wide_spread_hard_block: spread=35c > 12c,need_2,1,1,1,0,1.0,26.0,26.0,74.0,0.3514,-24.0,-24.0,-24.0,-24.0,0.0,0.0,-24.0,-24.0,50.0,35.2,2.0,-6.0,35.0
wide_spread_hard_block: spread=84c > 12c,need_6,1,1,0,1,0.0,-96.0,-96.0,96.0,-1.0,-46.0,-46.0,-46.0,-46.0,0.0,0.0,-46.0,-46.0,48.0,34.6,6.0,2.0,84.0
wide_spread_hard_block: spread=39c > 12c,need_2,1,1,1,0,1.0,15.0,15.0,85.0,0.1765,-35.0,-35.0,-35.0,-35.0,0.0,0.0,-35.0,-35.0,48.0,34.6,2.0,-2.0,39.0
wide_spread_hard_block: spread=38c > 12c,need_2,1,1,1,0,1.0,26.0,26.0,74.0,0.3514,-24.0,-24.0,-24.0,-24.0,0.0,0.0,-24.0,-24.0,50.0,35.2,2.0,-6.0,38.0
wide_spread_hard_block: spread=46c > 12c,need_6,1,1,0,1,0.0,-55.0,-55.0,55.0,-1.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,48.0,34.6,6.0,2.0,46.0
wide_spread_hard_block: spread=38c > 12c,need_7_plus,1,1,0,1,0.0,-46.0,-46.0,46.0,-1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,48.0,30.8,7.0,3.0,38.0
wide_spread_hard_block: spread=31c > 12c,need_5,1,1,0,1,0.0,-47.0,-47.0,47.0,-1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,48.0,34.6,5.0,1.0,31.0
wide_spread_hard_block: spread=15c > 12c,need_5,1,1,0,1,0.0,-29.0,-29.0,29.0,-1.0,21.0,21.0,21.0,21.0,1.0,1.0,21.0,21.0,46.0,34.0,5.0,2.0,15.0
wide_spread_hard_block: spread=30c > 12c,need_7_plus,1,1,0,1,0.0,-37.0,-37.0,37.0,-1.0,13.0,13.0,13.0,13.0,1.0,1.0,13.0,13.0,50.0,35.2,7.0,-1.0,30.0
wide_spread_hard_block: spread=26c > 12c,need_1,1,1,1,0,1.0,20.0,20.0,80.0,0.25,-30.0,-30.0,-30.0,-30.0,0.0,0.0,-30.0,-30.0,46.0,34.0,1.0,-4.0,26.0
wide_spread_hard_block: spread=16c > 12c,need_4,1,1,0,1,0.0,-52.0,-52.0,52.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,48.0,34.6,4.0,0.0,16.0
wide_spread_hard_block: spread=43c > 12c,need_1,1,1,1,0,1.0,20.0,20.0,80.0,0.25,-30.0,-30.0,-30.0,-30.0,0.0,0.0,-30.0,-30.0,46.0,34.0,1.0,-4.0,43.0
wide_spread_hard_block: spread=18c > 12c,need_7_plus,1,1,0,1,0.0,-24.0,-24.0,24.0,-1.0,26.0,26.0,26.0,26.0,1.0,1.0,26.0,26.0,25.0,22.9,8.0,6.0,18.0
wide_spread_hard_block: spread=20c > 12c,need_7_plus,1,1,0,1,0.0,-28.0,-28.0,28.0,-1.0,22.0,22.0,22.0,22.0,1.0,1.0,22.0,22.0,48.0,34.3,7.0,3.0,20.0
wide_spread_hard_block: spread=15c > 12c,need_7_plus,1,1,0,1,0.0,-22.0,-22.0,22.0,-1.0,28.0,28.0,28.0,28.0,1.0,1.0,28.0,28.0,25.0,16.4,7.0,5.0,15.0
wide_spread_hard_block: spread=46c > 12c,need_4,1,1,0,1,0.0,-55.0,-55.0,55.0,-1.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,50.0,35.2,4.0,-4.0,46.0
