season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_tied_or_led_later,539,0.2635,0.2853,-0.0218
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_tied_or_led_later,441,0.263,0.2697,-0.0067
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_early_deficit_tied_or_led_later,446,0.2668,0.2877,-0.0209
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_f5_runs_2plus,539,0.6197,0.5945,0.0252
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_f5_runs_2plus,441,0.6599,0.5795,0.0804
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_f5_runs_2plus,446,0.5628,0.5754,-0.0126
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_post5_runs_2plus,539,0.5455,0.4955,0.05
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_post5_runs_2plus,441,0.5261,0.4773,0.0488
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_post5_runs_2plus,446,0.5045,0.4701,0.0344
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_4plus,539,0.603,0.5745,0.0285
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_4plus,441,0.6259,0.55,0.0759
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_4plus,446,0.5426,0.5493,-0.0067
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_5plus,539,0.4879,0.4529,0.035
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_5plus,441,0.4943,0.4252,0.0691
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_runs_5plus,446,0.4305,0.4166,0.0139
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_trailed_early_1to3,539,0.4675,0.4889,-0.0214
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_trailed_early_1to3,441,0.4354,0.4826,-0.0472
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_trailed_early_1to3,446,0.4686,0.4927,-0.0241
2023,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_won,539,0.5028,0.5,0.0028
2024,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_won,441,0.5533,0.498,0.0553
2025,home_away+l10_rpg_bucket,away__very_high_5_5_plus,team_won,446,0.4978,0.5,-0.0022
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,f5_total_4plus,774,0.646,0.6342,0.0118
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,f5_total_4plus,771,0.6213,0.6211,0.0002
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,f5_total_4plus,719,0.6245,0.6226,0.0019
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,f5_total_5plus,774,0.5284,0.531,-0.0026
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,f5_total_5plus,771,0.5071,0.4957,0.0114
