combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
,60_plus,team_runs_4plus,"2023,2024,2025",3,922,231,0.6102,0.5498,0.6721,0.1223,0.0523,0.0005,0.0976,stable_positive_lift,team_quality,team_strength_bucket
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,very_high_75_plus__high_60_75,game_total_9plus,"2023,2024,2025",3,799,216,0.5505,0.5197,0.5694,0.0497,0.052,0.0344,0.0831,stable_positive_lift,,
,very_high_75_plus,team_f5_runs_2plus,"2023,2024,2025",3,501,142,0.6352,0.6127,0.6478,0.0351,0.052,0.0373,0.0683,stable_positive_lift,opponent_vulnerability,opponent_l10_allowed5_rate_bucket
,60_plus,team_f5_runs_2plus,"2023,2024,2025",3,1203,353,0.6348,0.5828,0.6701,0.0873,0.0517,0.0074,0.0756,stable_positive_lift,offense_consistency,offense_form_bucket
,mid_3_5_4_5,game_total_9plus,"2023,2024,2025",3,473,142,0.5501,0.4941,0.6211,0.127,0.0517,0.0088,0.0974,stable_positive_lift,f5_post5_identity,opponent_l10_post5_allowed_bucket
,60_plus,team_runs_4plus,"2023,2024,2025",3,1203,353,0.6087,0.5656,0.6571,0.0915,0.0508,0.0163,0.0826,stable_positive_lift,offense_consistency,offense_form_bucket
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,high_60_75__very_high_75_plus,team_f5_runs_2plus,"2023,2024,2025",3,861,232,0.6328,0.625,0.6441,0.0191,0.0497,0.0348,0.0687,stable_positive_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,50_55__bad_5_0_6_0,team_runs_4plus,"2023,2024,2025",3,485,150,0.6077,0.5962,0.6201,0.0239,0.0497,0.0456,0.0567,stable_positive_lift,,
l10_scored4_rate_bucket+opponent_l10_allowed4_rate_bucket,very_high_75_plus__below_avg_30_45,game_total_9plus,"2023,2024,2025",3,325,104,0.5478,0.5221,0.5926,0.0705,0.0494,0.0358,0.0689,stable_positive_lift,,
,yes,team_f5_runs_2plus,"2023,2024,2025",3,1904,623,0.6322,0.618,0.6453,0.0273,0.0491,0.0426,0.0539,stable_positive_lift,combo_tags,tag_live_rebound_watch
,55_60,team_won,"2023,2024,2025",3,2220,668,0.5484,0.5411,0.5614,0.0203,0.049,0.0411,0.0614,stable_positive_lift,team_quality,team_strength_bucket
team_strength_bucket+opponent_strength_bucket,50_55__40_45,team_runs_4plus,"2023,2024,2025",3,538,160,0.6069,0.5936,0.625,0.0314,0.049,0.0191,0.075,stable_positive_lift,,
home_away+opponent_strength_bucket,away__40_45,team_f5_runs_2plus,"2023,2024,2025",3,768,246,0.6319,0.6204,0.6411,0.0207,0.0487,0.045,0.0546,stable_positive_lift,,
,very_bad_5_25_plus,team_f5_runs_2plus,"2023,2024,2025",3,3240,884,0.6313,0.6219,0.6375,0.0156,0.0482,0.043,0.0551,stable_positive_lift,starter_quality,opponent_starter_xfip_bucket
,weak_lt_8,team_runs_4plus,"2023,2024,2025",3,3000,919,0.6061,0.5855,0.6233,0.0378,0.0481,0.0362,0.0594,stable_positive_lift,starter_quality,opponent_starter_kbb_bucket
